
12288 atoms 
5 atom types 

0.00000000 36.79200000 xlo xhi
0.00000000 63.72561331 ylo yhi
0.00000000 120.00000000 zlo zhi
0.00000  0.00000000 0.00000000 xy xz yz

Masses 

1 107.868 
2 126.904 
3 15.9994 
4 1.008
5 1.0e-100

Atoms 

411 1 0.60000000 13.79677005  26.55247164 19.75501440
412 1 0.60000000 13.79677005  26.55247164 27.27901440
413 1 0.60000000 11.49727005  30.53532247 4.70701440
414 1 0.60000000 11.49727005  30.53532247 12.23101440
415 1 0.60000000 11.49727005  30.53532247 19.75501440
416 1 0.60000000 11.49727005  30.53532247 27.27901440
417 1 0.60000000 9.19777005  34.51817330 4.70701440
418 1 0.60000000 9.19777005  34.51817330 12.23101440
419 1 0.60000000 9.19777005  34.51817330 19.75501440
420 1 0.60000000 9.19777005  34.51817330 27.27901440
421 1 0.60000000 6.89827005  38.50102414 4.70701440
422 1 0.60000000 6.89827005  38.50102414 12.23101440
423 1 0.60000000 6.89827005  38.50102414 19.75501440
424 1 0.60000000 6.89827005  38.50102414 27.27901440
425 1 0.60000000 4.59877005  42.48387497 4.70701440
426 1 0.60000000 4.59877005  42.48387497 12.23101440
427 1 0.60000000 4.59877005  42.48387497 19.75501440
428 1 0.60000000 4.59877005  42.48387497 27.27901440
429 1 0.60000000 2.29927005  46.46672580 4.70701440
430 1 0.60000000 2.29927005  46.46672580 12.23101440
431 1 0.60000000 2.29927005  46.46672580 19.75501440
432 1 0.60000000 2.29927005  46.46672580 27.27901440
433 1 0.60000000 -0.00022996  50.44957663 4.70701440
434 1 0.60000000 -0.00022996  50.44957663 12.23101440
435 1 0.60000000 -0.00022996  50.44957663 19.75501440
436 1 0.60000000 -0.00022996  50.44957663 27.27901440
437 1 0.60000000 -2.29972996  54.43242746 4.70701440
438 1 0.60000000 -2.29972996  54.43242746 12.23101440
439 1 0.60000000 -2.29972996  54.43242746 19.75501440
440 1 0.60000000 -2.29972996  54.43242746 27.27901440
441 1 0.60000000 -4.59922996  58.41527829 4.70701440
442 1 0.60000000 -4.59922996  58.41527829 12.23101440
443 1 0.60000000 -4.59922996  58.41527829 19.75501440
444 1 0.60000000 -4.59922996  58.41527829 27.27901440
445 1 0.60000000 -6.89872996  62.39812913 4.70701440
446 1 0.60000000 -6.89872996  62.39812913 12.23101440
447 1 0.60000000 -6.89872996  62.39812913 19.75501440
448 1 0.60000000 -6.89872996  62.39812913 27.27901440
449 1 0.60000000 32.19277005  2.65536665 4.70701440
450 1 0.60000000 32.19277005  2.65536665 12.23101440
451 1 0.60000000 32.19277005  2.65536665 19.75501440
452 1 0.60000000 32.19277005  2.65536665 27.27901440
453 1 0.60000000 29.89327005  6.63821748 4.70701440
454 1 0.60000000 29.89327005  6.63821748 12.23101440
455 1 0.60000000 29.89327005  6.63821748 19.75501440
456 1 0.60000000 29.89327005  6.63821748 27.27901440
457 1 0.60000000 27.59377005  10.62106831 4.70701440
458 1 0.60000000 27.59377005  10.62106831 12.23101440
